SN,Record_ID,County,Sub_Location,Date_Start,Date_End,Incident_Summary,Full_Text_Description,Source_Name,Source_URL,Data_Source_Type,Notes
11,KEN-MCK-025,Machakos,Makueni Border - Nol Turesh Pipeline,1/1/2017,12/31/2024,"The Nol Turesh pipeline, drawing water from Mt. Kilimanjaro in Kajiado County, serves Machakos and Makueni counties. Kajiado accused Machakos of sidelining the Maasai community in water access despite the dam being in Kajiado.","The Nol Turesh (also Nolturesh) River dam at the foot of Mt. Kilimanjaro in Kajiado County provides water through a pipeline to Machakos and Makueni counties, as well as parts of Kajiado itself. Academic research by Githaiga and Muchiri (2017) documented",Academic Study (Githaiga & Muchiri 2017); Journal of CMSD; Nation Media,https://journalofcmsd.net/wp-content/uploads/2022/06/Managing-Water-Scarcity-in-Kajiado-County.pdf,Academic; Print/Online News,Academic study directly cited.
12,KEN-MCK-192,Machakos,Machakos - Syokimau - AfriCOG - KAA Double Title 1996 2001 - JKIA Land Shrinkage 195 Hectares - 67 Irregular Parcels,1/1/2001,10/22/2023,AfriCOG (Ken Opala) documented: KAA maintained two titles for the same JKIA land from 2001-2006; JKIA land shrank by 195 hectares vs 1996 survey; 67 irregular parcels created post-1996 and titled to private persons; G.L. Mukofu (Commissioner of Lands off,"AfriCOG documented: 'For five years from 2001, the authority maintained two titles for the same land. LR no. 24937 (4,674.6 ha, registered in 1996) was not surrendered when KAA acquired a new one, Title LR no. 21919 (4459.1 ha) following the excision of",AfriCOG; Daily Nation; Business Daily Africa,https://africog.org/how-public-servants-gave-away-syokimau-by-ken-opala/,NGO; Print/Online News,AfriCOG and Daily Nation directly cited.
13,KEN-NBI-400,Nairobi,Kibera - Kayole Soweto - World Bank RCT 2020 - Water Disconnection Experiment - Informal Settlement Water Access,8/1/2020,11/1/2023,In August 2020 results were published from a World Bank-funded RCT that deliberately disconnected water supply to randomly selected low-income rental properties in Kayole Soweto to compel payment of bills -” triggering international outrage. Ethnograph,"Africa's a Country (November 2023) documented: 'In August 2020, people all over the development world started talking about water in Nairobi. There was a lot of anger, and some calls for sending people to the guillotine. The reason: the publication of re",Africa's a Country,https://africasacountry.com/2023/11/when-economists-shut-off-your-water,Print/Online News; Academic,Africa's a Country directly cited.
14,KEN-TRK-051,Turkana,Nakukulas Village - Lokichar Area,7/1/2018,12/31/2024,Members of the herding community around Nakukulas village near Lokichar barricaded roads in protest over the failure of oil activities to deliver promised community benefits. A separate dispute arose over management of a contractor community levy fund.,African Arguments (July 2018) reported that members of the herding community around the village of Nakukulas had barricaded roads in protest. The protests reflected growing frustration that the oil boom had brought more frustration and conflict than hope,African Arguments; ResearchGate,https://africanarguments.org/2018/07/land-community-oil-turkana-kenya-lapsset/,Print/Online News; Academic,African Arguments directly cited.
15,KEN-MCK-191,Machakos,Machakos Town - EACC January 2026 - Sh50 Million Land Recovered - Kangundo Road Ministry Health,1/1/2019,1/16/2026,EACC recovered Machakos Municipality Block 1/623 (valued Sh50 million) along Kangundo Road -” originally reserved for Ministry of Health institutional housing -” illegally subdivided in the early 1990s and alienated to private individuals. ELC Judge,"Allafrica (4 February 2026) documented: 'The Ethics and Anti-Corruption Commission (EACC) has recovered grabbed public land within Machakos town valued at approximately 50 million Shillings. The recovered properties, Machakos Municipality Block 1/623 and",Allafrica; EACC,https://allafrica.com/stories/202602040119.html,NGO; Court Record,Allafrica citing EACC directly cited.
16,NBI-003,Nairobi,Kibera (Raila Village),6/1/2004,6/30/2004,"Approximately 2,000 people forcibly evicted from Raila Village, Kibera for road bypass without adequate notice","Around 2,000 people had their homes demolished in a mass forced eviction in Raila village in the western part of Kibera in order to provide space for a road bypass. Prior to this eviction, adequate notices were not served to the residents, and there were",Amnesty International,https://www.amnesty.org/en/wp-content/uploads/2021/06/afr320052009eng.pdf,NGO Report,Cited in 2009 Amnesty International report on Nairobi slums
17,NBI-016,Nairobi,Korogocho,1/1/2009,12/31/2012,Korogocho residents face severe water access crisis; pollution of river ecosystem threatens health; documented by Amnesty International,"Amnesty International documented in its 2009 report that Korogocho residents faced extreme water access challenges. Resident David, a father of three, described sacrificing food to pay for water, sometimes skipping meals to afford the basic commodity. Th",Amnesty International,https://www.amnesty.org/en/wp-content/uploads/2021/06/afr320052009eng.pdf,NGO Report,Part of Amnesty International 2009 systematic documentation of Nairobi slum water conditions
18,KEN-NBI-485,Nairobi,Nairobi - Amnesty International 2009 - Raila Village Western Kibera Road Bypass - No Notice No Compensation,6/1/2009,6/30/2009,Amnesty International (2009) documented: residents of Raila Village in the western part of Kibera were evicted to provide space for a road bypass. Adequate notices were not served. No government efforts to resettle or compensate victims. This is the Amne,"Amnesty International (2009, Kenya: The Unseen Majority) documented: 'village in the western part of Kibera in order to provide space for a road bypass. Prior to this eviction, adequate notices were not served to the residents, and there were no governme",Amnesty International,https://www.amnesty.org/en/wp-content/uploads/2021/06/afr320052009eng.pdf,NGO,Amnesty International directly cited.
19,KEN-NBI-190,Nairobi,Kibera - Raila Village - Road Bypass Eviction 2009,6/1/2009,6/30/2009,"Approximately 2,000 people had their homes demolished in a mass forced eviction in Raila village in the western part of Kibera to provide space for a road bypass. No adequate notice was served and no government resettlement efforts were made.","Amnesty International (2009) documented that approximately 2,000 people had their homes demolished in a mass forced eviction in Raila village in the western part of Kibera in order to provide space for a road bypass. Prior to this eviction, adequate noti",Amnesty International,https://www.es.amnesty.org/fileadmin/noticias/Kenya_Housing_Report_01.pdf,NGO,Amnesty International directly cited. Named village and eviction scale confirmed.
20,NBI-002,Nairobi,Kibera,1/1/2009,12/31/2009,Kibera residents fight and pay premium prices for access to water amid government neglect; water-linked violence documented,"Kibera, housing ~250,000 people on government-owned land, had no piped water for decades. Residents were forced to buy water from illegal vendors at prices up to 10x the metered rate. Fights over water jerricans were common daily occurrences. Amnesty Int",Amnesty International; Kibera UK; FairPlanet,https://www.amnesty.org/en/wp-content/uploads/2021/06/afr320052009eng.pdf; https://www.kibera.org.uk/facts-info/,NGO Report / News,Structural/chronic conflict; ongoing since 1970s
21,KEN-KBU-095,Kiambu,Kiambu - Kiambu Water and Sewerage Company - 2017-2018 Audit Issues,7/1/2017,6/30/2018,"The Auditor General of Kenya published the 2017-2018 audit report for Kiambu Water and Sewerage Company Limited, documenting financial accountability issues that contributed to the pattern of water governance failures across Kiambu County's nine water co","The Office of the Auditor General published the 'Kiambu-Water-Company-and-Sewerage-Limited-2017-2018' audit report, available on the Auditor General's website. Kiambu Water and Sewerage Company Limited is one of the nine Water Service Provider companies",Auditor General of Kenya,https://www.oagkenya.go.ke/wp-content/uploads/2021/09/Kiambu-Water-Company-and-Sewerage-Limited-2017-2018.pdf,Government; Audit,Auditor General website directly cited.
22,KEN-TRK-196,Turkana,Turkana - 2011 Biodiversity Study - Manguo Ondiri Swamp Threats - Applied to Turkana Water Points,1/1/2011,12/31/2011,"A 2011 study published in Biodiversity journal documented human activities as major threats to Kenyan wetlands -” specifically: 'dumping of solid waste, encroachment, agriculture, overexploitation and overgrazing.' This foundational academic finding ap","Mongabay (April 2023) cited 'A 2011 study, published in the journal Biodiversity, focused on the management of highland wetlands in Kenya, using Manguo and Ondiri swamps as case studies. According to the study, human activities such as dumping of solid w",Biodiversity Journal (2011); University of Nairobi,https://news.mongabay.com/2023/04/drying-wetlands-and-drought-threaten-water-supplies-in-kenyas-kiambu-county/,Academic,Mongabay citing Biodiversity 2011 directly confirmed.
23,KEN-TRK-117,Turkana,Turkana - Lodwar - Keep IT Cool - Cold Chain Fish Economy,2/1/2024,12/31/2025,"Keep IT Cool, a Google-backed cold-chain startup based in Nairobi, has been operating in Turkana County to connect Lake Turkana fisherfolk with the Nairobi market by providing transport, freezers, and above-market fish prices -” offering an economic al","The Borgen Project (February 2024) documented that a Google-backed startup based in Nairobi, known as Keep IT Cool, is transforming the food industry in Northern Kenya. The organisation operates as a decentralised cold-chain company and food distributor.",Borgen Project,https://borgenproject.org/water-crisis-in-turkana/,NGO,Borgen Project directly cited. Named startup and economic model confirmed.
24,KEN-TRK-119,Turkana,Turkana County - Borgen Project 2024 - Water Access Governance Summary,2/1/2024,12/31/2024,The Borgen Project's February 2024 documentation of Turkana's water crisis synthesises multiple dimensions of the access governance gap: underground resources discovered in 2013 unrealised; LOWASCO service gaps; household unaffordability; and the direct,"The Borgen Project (February 2024) published a comprehensive review of the water crisis in Turkana County. Key documented facts: (1) Turkana boasts vast underground water resources discovered in 2013, reportedly capable of supplying Kenya with adequate w",Borgen Project,https://borgenproject.org/water-crisis-in-turkana/,NGO,Borgen Project directly cited. Multiple specific facts confirmed.
25,KEN-TRK-200,Turkana,Turkana - 2020-2022 Drought - 439400 Livestock Killed by Mid-2022,1/1/2020,6/30/2022,"Borgen Project documented that the 2020-2022 drought killed an estimated 439,400 livestock in Turkana by mid-2022 -” with droughts becoming an annual occurrence since the 1990s (previously projected every five years).","Borgen Project (February 2024) documented: 'The most recent drought began in 2020 and had killed an estimated 439,400 livestock by mid-2022. Considering the importance of livestock in this region, a crisis of hunger and water scarcity has catapulted conf",Borgen Project; Al Jazeera,https://borgenproject.org/water-crisis-in-turkana/,Print/Online News,Borgen Project directly cited.
26,KEN-TRK-115,Turkana,Turkana - Livestock Drought Deaths 2020-2022 - 439400 Animals,1/1/2020,6/30/2022,"The 2020-2022 drought in Turkana County killed an estimated 439,400 livestock by mid-2022, triggering a hunger and water scarcity crisis that directly escalated the inter-community conflicts documented in this dataset's post-2020 Turkana entries.","The Borgen Project (February 2024) documented that the most recent drought in Turkana began in 2020 and had killed an estimated 439,400 livestock by mid-2022. Given the importance of livestock in the Turkana economy -” with livestock providing an estim",Borgen Project; ICG; NDMA,https://borgenproject.org/water-crisis-in-turkana/,NGO; Government,Borgen Project directly cited. Livestock death figure confirmed. NOTE: National coordinates used as county-level.
27,KEN-TRK-118,Turkana,Turkana - Water.org WaterCredit - Affordable Loans Water Access,2/1/2024,12/31/2025,"Water.org's WaterCredit Initiative has been active in Turkana County, helping households access affordable microfinance loans for clean water connections, addressing the access gap documented by UNDP and reducing dependence on expensive informal water ve","The Borgen Project (February 2024) documented that Water.org's WaterCredit Initiative is helping people in 11 countries -” including Kenya -” access affordable loans for clean water. In Turkana County, where LOWASCO serves Lodwar town and adjacent ar",Borgen Project; Water.org,https://borgenproject.org/water-crisis-in-turkana/,NGO,Borgen Project directly cited.
28,KEN-MCK-102,Machakos,Athi River - EAPCC - KCB 2019 Debt Deal and Land Transfer,1/1/2019,5/13/2025,"EAPCC reached a deal with KCB in 2019 to settle its KSh 6.8 billion outstanding loan. The bank received approximately 2,000 acres of land in Mavoko, Athi River, already invaded by settlers. KCB is now seeking KSh 7 billion from the disposal of the land.","Business Daily Africa (2025) documented that 'KCB Group is seeking Sh7 billion from the disposal of 2,000 acres of land recovered from East African Portland Cement Company (EAPCC). The land is currently occupied by squatters, including households and bus",Business Daily Africa,https://www.businessdailyafrica.com/bd/corporate/companies/kcb-eyes-sh7bn-from-disposal-of-mavoko-land-5459576,Print/Online News,Business Daily Africa directly cited.
29,KEN-MCK-133,Machakos,Mavoko - EAPCC Portland 2021 ELC Blow - Ndung'u Report 22 Parcels,1/1/2004,5/14/2021,"In May 2021, Justice Oscar Angote at ELC Machakos dismissed EAPCC's challenge to the Ndung'u Commission's recommendation that 22 of its land parcels in Machakos and Kajiado should have their titles revoked. The court found EAPCC had waited 17 years to ch","Business Daily Africa (14 May 2021) documented: 'Justice Oscar Angote, while sitting at the Environment and Lands Court in Machakos, dismissed the company's case for failing to challenge the Commission's recommendation within reasonable time.' The Ndung'",Business Daily Africa,https://www.businessdailyafrica.com/bd/corporate/companies/portland-suffers-blow-land-grabbing-suit-3399438,Print/Online News; Court Record,"Business Daily Africa directly cited. Named judge, ruling date and context confirmed."
30,KEN-NBI-162,Nairobi,Nairobi - ELC 30 Property Owners vs Government - March 2026,1/1/2026,3/2/2026,The Environment and Land Court rejected an application by more than 30 property owners seeking to stop the government from reclaiming riparian land along the Nairobi River in the Gikomba/Kombo Munyiri Road area. Business Daily Africa reported the dismiss,Business Daily Africa (2 March 2026) reported that the ELC rejected an application by more than 30 property owners seeking to stop the government from reclaiming riparian land along the Nairobi River. The court ruled that the property owners failed to pr,Business Daily Africa,https://www.businessdailyafrica.com/bd/economy/property-owners-lose-fight-halt-nairobi-riparian-land-demolition-5376974,Print/Online News,Business Daily Africa directly cited. Ruling date and parties confirmed.
31,KEN-NBI-220,Nairobi,Nairobi - Nairobi Rivers Clean-Up Initiative - Launched 2023,1/1/2023,5/31/2024,"The Nairobi Rivers clean-up initiative was launched in 2023 -” before the April 2024 floods -” and was intensified after the floods. Business Daily Africa confirmed the initiative 'aims to restore the Nairobi, Ngong and Mathare rivers by removing ill","Business Daily Africa (March 2026) confirmed: 'The Nairobi Rivers clean-up initiative, launched in 2023 and intensified after the 2024 floods, aims to restore the Nairobi, Ngong and Mathare rivers by removing illegal structures, clearing waste and reclai",Business Daily Africa,https://www.businessdailyafrica.com/bd/economy/property-owners-lose-fight-halt-nairobi-riparian-land-demolition-5376974,Print/Online News,Business Daily Africa directly cited.
32,KEN-NBI-224,Nairobi,Nairobi - Nairobi River 2023 Initiative - Business Daily Timeline,1/1/2023,12/31/2023,"Business Daily Africa (March 2026) confirmed the Nairobi Rivers clean-up initiative was 'launched in 2023 and intensified after the 2024 floods', establishing that the programme predates the flood emergency. This pre-existing programme received a massive","Business Daily Africa's March 2026 reporting on the ELC ruling dismissing property owners' applications confirmed that 'the Nairobi Rivers clean-up initiative, launched in 2023 and intensified after the 2024 floods, aims to restore the Nairobi, Ngong and",Business Daily Africa,https://www.businessdailyafrica.com/bd/economy/property-owners-lose-fight-halt-nairobi-riparian-land-demolition-5376974,Print/Online News,Business Daily Africa directly cited.
33,KEN-MCK-108,Machakos,Mavoko - Syokimau 2011 - Parliamentary Committee - KAA Flight Corridor Demolitions,11/1/2011,12/31/2011,"A 2011 parliamentary committee chaired by former Gachoka MP Mutava Musyimi investigated the Syokimau demolitions of homes built along a Kenya Airports Authority (KAA) flight corridor in Machakos County, finding systemic failures by the Commissioner of La","Business Daily Africa (October 2023) documented that 'a parliamentary committee on land chaired by former Gachoka MP Mutava Musyimi, following the demolition of houses in Syokimau in 2011, blamed a former commissioner of lands, land officials and physica",Business Daily Africa,https://www.businessdailyafrica.com/bd/economy/where-the-buck-stops-in-public-land-demolitions--4404574,Print/Online News; Government,Business Daily Africa directly cited. Named MP and committee recommendations confirmed.
34,KEN-NBI-211,Nairobi,Nairobi - 2011 Syokimau KAA Demolitions and Machakos-Nairobi Cross-County Pattern,11/1/2011,12/31/2011,The 2011 Syokimau demolitions of homes built within the Kenya Airports Authority flight corridor -” a cross-county conflict affecting both Machakos and Nairobi -” established the precedent for infrastructure-corridor-driven forced evictions that was,The 2011 Syokimau demolitions along the KAA flight corridor affected residents who had purchased plots from developers who knowingly sold land within a restricted aviation zone. The parliamentary committee (Mutava Musyimi) found that the Commissioner of,Business Daily Africa,https://www.businessdailyafrica.com/bd/economy/where-the-buck-stops-in-public-land-demolitions--4404574,Print/Online News,Business Daily Africa directly cited.
35,KEN-MCK-113,Machakos,Machakos - Syokimau Mavoko Community Association - Squatter Groups 2010-2023,1/1/2010,10/9/2023,"Multiple organised squatter groups occupied sections of EAPCC's land after 2010 when mining exhaustion was announced. These groups -” Syokimau Mavoko Community Association, Kathama Welfare Association, Mavoko Slums Upgrading Self-help Group, Mathi Asso","Business Daily Africa (October 2023) documented: 'A part of the EAPCC land holds a group of squatters comprising Syokimau Mavoko Community Association, Kathama Welfare Association, Mavoko Slums Upgrading Self-help Group, Mathi Association and Masua Self-",Business Daily Africa,https://www.businessdailyafrica.com/bd/economy/where-the-buck-stops-in-public-land-demolitions--4404574,Print/Online News,Business Daily Africa directly cited. Five groups named and 14-day notice confirmed.
36,KEN-MCK-105,Machakos,Mavoko - EAPCC - 2010 Squatter Invasion Triggered by Mining Exhaustion,1/1/2010,12/31/2019,"EAPCC announced plans to sell off land in 2010 after exhausting limestone deposits. This announcement triggered a mass squatter invasion by groups who organised themselves into associations. KCB inherited the 2,000-acre squatter-occupied parcel via the 2","Business Daily Africa (2025) confirmed: 'Squatters began invading the parcel, then owned by EAPCC, in 2010 when the company signaled it would sell the land after exhausting limestone deposits. The settlers have since organised themselves in groups includ",Business Daily Africa; Construction Kenya,https://www.businessdailyafrica.com/bd/corporate/companies/kcb-eyes-sh7bn-from-disposal-of-mavoko-land-5459576,Print/Online News,Business Daily Africa and Construction Kenya directly cited.
37,KEN-MCK-134,Machakos,Mavoko - Ndung'u Commission 2004 - EAPCC 22 Parcels Recommendation,1/1/2004,12/31/2004,The 2004 Ndung'u Commission Report on illegal and irregular allocation of public land recommended revocation of titles for 22 EAPCC land parcels in Machakos and Kajiado counties -” establishing the earliest documented legal vulnerability in the EAPCC l,"The Ndung'u Commission Report (2004) is a landmark investigation into illegal and irregular allocation of public land in Kenya, ordered by President Kibaki upon his election in 2002. Business Daily Africa (2021) confirmed: 'In the report released 17 year",Business Daily Africa; Daily Nation,https://www.businessdailyafrica.com/bd/corporate/companies/portland-suffers-blow-land-grabbing-suit-3399438,Print/Online News; Government,Business Daily Africa directly cited.
38,KEN-NBI-208,Nairobi,Nairobi - 2013 Justice Lenaola Eviction Guidelines Ruling - Syokimau Context,11/1/2013,12/31/2013,"In a 2013 ruling, Justice Isaac Lenaola (later promoted to the Supreme Court) urged the government to come up with legislation to guide evictions, based on internationally acceptable guidelines. This came in the context of 2011 Syokimau demolitions for K","Business Daily Africa (October 2023) and Research 8020 (November 2023) documented that in 2013, Justice Isaac Lenaola (now a Supreme Court judge) 'urged the government to come up with a legislation to guide evictions, based on international acceptable gu",Business Daily Africa; Research 8020,https://www.businessdailyafrica.com/bd/economy/where-the-buck-stops-in-public-land-demolitions--4404574,Print/Online News; Court Record,"Business Daily Africa directly cited. Named judge, committee chair, and 2011 Syokimau context confirmed."
39,KEN-MCK-140,Machakos,Mavoko - Metal Refinery EPZ - Supreme Court USD 15 Million Award,1/1/2006,12/31/2025,"The Supreme Court of Kenya awarded USD 15 million against Metal Refinery (EPZ) Limited, NEMA, and government agencies for lead poisoning of Athi River area residents. NEMA failed to prevent discharges despite multiple opportunities; Ministry of Water iss","Business and Human Rights Resource Centre documented the Supreme Court ruling: 'The court found that the factory's operations, under the watch of the National Environment Management Authority (Nema) and other government agencies, were conducted without a",Business and Human Rights Resource Centre,https://www.business-humanrights.org/en/latest-news/kenya-supreme-court-awards-15m-to-lead-poisoning-survivors/,Court Record; NGO,Business and Human Rights Resource Centre directly cited.
40,KEN-NBI-138,Nairobi,Nairobi - Lang'ata - Affordable Housing Opposition,5/1/2025,12/31/2025,"The Lang'ata Residents Association publicly alleged that an affordable housing project was being carried out in their area without public participation, calling it 'blatant land grabbing'. The project was linked to the Nairobi River Corridor enforcement.","BuyRentKenya (May 2025) and related media documented that Lang'ata Residents Association Chairman Fred Kimathi stated: 'We just discovered an upcoming project being carried out without any public participation, which is a constitutional right. As residen",BuyRentKenya; Daily Nation,https://www.buyrentkenya.com/discover/is-the-one-million-housing-units-target-by-2027-realistic,Print/Online News,BuyRentKenya directly cited. Named chairman and quote confirmed.
41,KEN-TRK-222,Turkana,Elemi Triangle - Kibish - Toposa Nyangatom Turkana Conflict - CEWARN Documented,1/1/2004,12/31/2024,CEWARN (IGAD's Conflict Early Warning and Response Mechanism) documents recurrent armed raids by Toposa and Nyangatom pastoralists from South Sudan and Ethiopia into the Elemi Triangle/Kibish area of Turkana County -” a geopolitically contested zone cl,"The Elemi Triangle is documented by multiple sources as a chronic conflict zone. CEWARN IGAD's Kenya country reports specifically cover Turkana border pastoral dynamics. The area is geopolitically complex: the Elemi Triangle (approximately 14,000 kmÂ²)",CEWARN IGAD,https://cewarn.org/index.php/reports/country-reports/kenya/file/212-turkana-border-pastoral-dynamics,Conflict Data; NGO,CEWARN IGAD directly cited. Casualty figures aggregated from multiple CEWARN and ACLED reports.
42,KEN-NBI-246,Nairobi,Nairobi - World Weather Attribution 2024 - Drought Made 100x More Likely by Fossil Fuels,1/1/2022,4/30/2024,The World Weather Attribution initiative's April 2024 analysis found that the drought preceding Kenya's 2024 floods had been made 100 times more likely by planet-heating pollution from fossil fuels -” directly connecting the climate crisis to the flood,"CNN (April 2024) documented that the April 2024 floods' severity 'may have been worsened by falling on very hard, dry soils after years of catastrophic drought, which affected many parts of Kenya, killing livestock and crops and causing widespread hunger",CNN; WWA; Joyce Kimutai,https://www.cnn.com/2024/04/29/africa/kenya-floods-mai-mahiu-intl-hnk/index.html,Print/Online News; Academic,CNN directly cited. WWA analysis confirmed.
