Record_ID,Original_Record_ID,County,Sub_Location,Date_Start,Date_End,Incident_Summary,Conflict_Type,Conflict_Subtype,Parties_Involved,Full_Text_Description,Source_Name,Source_URL,Data_Source_Type,Latitude,Longitude,Casualties_Reported,Displaced_Persons,Legal_Status,Outcome_Status,NLP_Keywords,Verified,Confidence_Score,Notes
KEN-MCK-025,KEN-MCK-025,Machakos,Makueni Border - Nol Turesh Pipeline,1/1/2017,12/31/2024,"The Nol Turesh pipeline, drawing water from Mt. Kilimanjaro in Kajiado County, serves Machakos and Makueni counties. Kajiado accused Machakos of sidelining the Maasai community in water access despite the dam being in Kajiado.",Water-Land,Inter-County Water Pipeline Conflict,Kajiado County; Machakos County; Makueni County; Maasai Community; WRMA; Ministry of Water,"The Nol Turesh (also Nolturesh) River dam at the foot of Mt. Kilimanjaro in Kajiado County provides water through a pipeline to Machakos and Makueni counties, as well as parts of Kajiado itself. Academic research by Githaiga and Muchiri (2017) documented",Academic Study (Githaiga & Muchiri 2017); Journal of CMSD; Nation Media,https://journalofcmsd.net/wp-content/uploads/2022/06/Managing-Water-Scarcity-in-Kajiado-County.pdf,Academic; Print/Online News,-1.4443,36.9616,0,0,Administrative - WRMA Inter-County Arbitration,Ongoing,"Nol Turesh, Kajiado, Machakos, Makueni, Maasai, inter-county, water pipeline, Mt Kilimanjaro, vandalism, WRMA",Yes,0.87,Academic study directly cited.
KEN-MCK-192,KEN-MCK-192,Machakos,Machakos - Syokimau - AfriCOG - KAA Double Title 1996 2001 - JKIA Land Shrinkage 195 Hectares - 67 Irregular Parcels,1/1/2001,10/22/2023,AfriCOG (Ken Opala) documented: KAA maintained two titles for the same JKIA land from 2001-2006; JKIA land shrank by 195 hectares vs 1996 survey; 67 irregular parcels created post-1996 and titled to private persons; G.L. Mukofu (Commissioner of Lands off,Water-Land,Syokimau KAA JKIA Land Fraud - Double Title 1996 2001 - 195 Hectares Shrinkage - 67 Irregular Parcels - 3763 Investors - Mulikolwe Warning Ignored,Kenya Airports Authority; Uungani Settlement Scheme (1800 members); Mlolongo Brothers Association; Commissioner of Lands; Machakos Lands Office; 3763 Investors; Martha Koome (then High Court Judge),"AfriCOG documented: 'For five years from 2001, the authority maintained two titles for the same land. LR no. 24937 (4,674.6 ha, registered in 1996) was not surrendered when KAA acquired a new one, Title LR no. 21919 (4459.1 ha) following the excision of",AfriCOG; Daily Nation; Business Daily Africa,https://africog.org/how-public-servants-gave-away-syokimau-by-ken-opala/,NGO; Print/Online News,-1.365,36.932,0,3763+,Compensation Claims Ongoing,Active - Victims Seeking Compensation,"Syokimau, KAA, double title, 1996 2001, 195 hectares shrinkage, 67 irregular parcels, Uungani, Mlolongo Brothers, Mukofu warning ignored, 3763 investors, JKIA land fraud",Yes,0.98,AfriCOG and Daily Nation directly cited.
KEN-NBI-400,KEN-NBI-400,Nairobi,Kibera - Kayole Soweto - World Bank RCT 2020 - Water Disconnection Experiment - Informal Settlement Water Access,8/1/2020,11/1/2023,In August 2020 results were published from a World Bank-funded RCT that deliberately disconnected water supply to randomly selected low-income rental properties in Kayole Soweto to compel payment of bills -” triggering international outrage. Ethnograph,Water-Land,World Bank RCT Kayole Soweto 2020 - Water Disconnected on Low-Income Renters - Africa's a Country 2023,World Bank; Nairobi City Water and Sewerage Company (NCWSC); Development Economists; Kayole Soweto Residents; Africa's a Country (Adrian Wilson Irene Nduta Somo Abdi),"Africa's a Country (November 2023) documented: 'In August 2020, people all over the development world started talking about water in Nairobi. There was a lot of anger, and some calls for sending people to the guillotine. The reason: the publication of re",Africa's a Country,https://africasacountry.com/2023/11/when-economists-shut-off-your-water,Print/Online News; Academic,-1.3,36.9,0,Unknown,Academic/NGO Documentation,Resolved (RCT Completed),"World Bank RCT, Kayole Soweto, water disconnection, 2020, low-income renters, compel payment, Africa's a Country, development economists, plagued with problems, inequality",Yes,0.95,Africa's a Country directly cited.
KEN-TRK-051,KEN-TRK-051,Turkana,Nakukulas Village - Lokichar Area,7/1/2018,12/31/2024,Members of the herding community around Nakukulas village near Lokichar barricaded roads in protest over the failure of oil activities to deliver promised community benefits. A separate dispute arose over management of a contractor community levy fund.,Water-Land,Oil Road Infrastructure - Community Protest,Nakukulas Village Community; Tullow Oil Contractors; Africa Camp Solutions; Turkana County Government,African Arguments (July 2018) reported that members of the herding community around the village of Nakukulas had barricaded roads in protest. The protests reflected growing frustration that the oil boom had brought more frustration and conflict than hope,African Arguments; ResearchGate,https://africanarguments.org/2018/07/land-community-oil-turkana-kenya-lapsset/,Print/Online News; Academic,2.4,35.6,0,Unknown,Active - Community Advocacy,Ongoing,"Nakukulas, Lokichar, oil, road barricade, community levy, Africa Camp Solutions, Tullow, protest, Turkana",Yes,0.88,African Arguments directly cited.
KEN-MCK-191,KEN-MCK-191,Machakos,Machakos Town - EACC January 2026 - Sh50 Million Land Recovered - Kangundo Road Ministry Health,1/1/2019,1/16/2026,EACC recovered Machakos Municipality Block 1/623 (valued Sh50 million) along Kangundo Road -” originally reserved for Ministry of Health institutional housing -” illegally subdivided in the early 1990s and alienated to private individuals. ELC Judge,Water-Land,EACC January 2026 - Machakos Municipality Block 1/623 - Sh50 Million - Ministry of Health Pool House - Illegally Alienated 1990s,EACC; Wilson Gacanja (Commissioner of Lands defendant); Joseph Mutuku Muia (son of former Masaku Town Mayor); ELC Judge Nelly Matheka; Ministry of Health; Machakos Sub-County Police Commander,"Allafrica (4 February 2026) documented: 'The Ethics and Anti-Corruption Commission (EACC) has recovered grabbed public land within Machakos town valued at approximately 50 million Shillings. The recovered properties, Machakos Municipality Block 1/623 and",Allafrica; EACC,https://allafrica.com/stories/202602040119.html,NGO; Court Record,-1.5169,37.2634,0,Unknown,ELC Judgment January 2026 - Title Cancelled,Resolved (Judgment),"EACC, Machakos, Kangundo Road, Block 1/623, Sh50 million, Ministry of Health pool house, 1990s alienation, Wilson Gacanja Commissioner of Lands, Joseph Muia, January 2026 judgment",Yes,0.98,Allafrica citing EACC directly cited.
NBI-003,NBI-003,Nairobi,Kibera (Raila Village),6/1/2004,6/30/2004,"Approximately 2,000 people forcibly evicted from Raila Village, Kibera for road bypass without adequate notice",Land Grab / Eviction,Forced Eviction for Infrastructure,"Kenya National Highways Authority, Kibera residents","Around 2,000 people had their homes demolished in a mass forced eviction in Raila village in the western part of Kibera in order to provide space for a road bypass. Prior to this eviction, adequate notices were not served to the residents, and there were",Amnesty International,https://www.amnesty.org/en/wp-content/uploads/2021/06/afr320052009eng.pdf,NGO Report,-1.2864,36.785,0,"2,000+",No formal legal proceedings recorded,Road built; no resettlement provided,eviction Kibera road bypass infrastructure 2004 Nairobi informal settlement,High,0.88,Cited in 2009 Amnesty International report on Nairobi slums
NBI-016,NBI-016,Nairobi,Korogocho,1/1/2009,12/31/2012,Korogocho residents face severe water access crisis; pollution of river ecosystem threatens health; documented by Amnesty International,Water/Land Conflict,Water Access and Sanitation Conflict,"Korogocho residents, Nairobi County, private landlords","Amnesty International documented in its 2009 report that Korogocho residents faced extreme water access challenges. Resident David, a father of three, described sacrificing food to pay for water, sometimes skipping meals to afford the basic commodity. Th",Amnesty International,https://www.amnesty.org/en/wp-content/uploads/2021/06/afr320052009eng.pdf,NGO Report,-1.08,36.8848,Not specified,Not quantified,Chronic situation; no formal conflict resolution,Water access partially improved,Korogocho Nairobi water access sanitation conflict 2009 Ngong river pollution,High,0.88,Part of Amnesty International 2009 systematic documentation of Nairobi slum water conditions
KEN-NBI-485,KEN-NBI-485,Nairobi,Nairobi - Amnesty International 2009 - Raila Village Western Kibera Road Bypass - No Notice No Compensation,6/1/2009,6/30/2009,Amnesty International (2009) documented: residents of Raila Village in the western part of Kibera were evicted to provide space for a road bypass. Adequate notices were not served. No government efforts to resettle or compensate victims. This is the Amne,Water-Land,Amnesty International 2009 - Raila Village Western Kibera Road Bypass Eviction - No Notice No Compensation - Victims Not Resettled,Amnesty International Kenya; Raila Village Residents; Government Road Bypass Project; Kenya National Commission on Human Rights,"Amnesty International (2009, Kenya: The Unseen Majority) documented: 'village in the western part of Kibera in order to provide space for a road bypass. Prior to this eviction, adequate notices were not served to the residents, and there were no governme",Amnesty International,https://www.amnesty.org/en/wp-content/uploads/2021/06/afr320052009eng.pdf,NGO,-1.315,36.77,0,Unknown,Historical - No Compensation,Resolved (Historical),"Amnesty International 2009, Raila Village, western Kibera, road bypass, no notice, no compensation, not resettled, Kenya Unseen Majority",Yes,0.94,Amnesty International directly cited.
KEN-NBI-190,KEN-NBI-190,Nairobi,Kibera - Raila Village - Road Bypass Eviction 2009,6/1/2009,6/30/2009,"Approximately 2,000 people had their homes demolished in a mass forced eviction in Raila village in the western part of Kibera to provide space for a road bypass. No adequate notice was served and no government resettlement efforts were made.",Water-Land,Kibera Raila Village - 2000 Homes Demolished for Road Bypass Without Notice,Approximately 2000 Raila Village Residents; Nairobi City Council; National Government; KENSUP,"Amnesty International (2009) documented that approximately 2,000 people had their homes demolished in a mass forced eviction in Raila village in the western part of Kibera in order to provide space for a road bypass. Prior to this eviction, adequate noti",Amnesty International,https://www.es.amnesty.org/fileadmin/noticias/Kenya_Housing_Report_01.pdf,NGO,-1.315,36.77,0,2000,Forced Eviction - No Compensation,Enforced - No Resettlement,"Kibera, Raila village, road bypass, 2000 homes, 2009, Amnesty International, no notice, no resettlement, Nairobi River, Ngong River",Yes,0.96,Amnesty International directly cited. Named village and eviction scale confirmed.
NBI-002,NBI-002,Nairobi,Kibera,1/1/2009,12/31/2009,Kibera residents fight and pay premium prices for access to water amid government neglect; water-linked violence documented,Riparian Land Conflict,Water Access / Sanitation Conflict,"Kibera residents, Nairobi City Water & Sewerage Co, private water vendors","Kibera, housing ~250,000 people on government-owned land, had no piped water for decades. Residents were forced to buy water from illegal vendors at prices up to 10x the metered rate. Fights over water jerricans were common daily occurrences. Amnesty Int",Amnesty International; Kibera UK; FairPlanet,https://www.amnesty.org/en/wp-content/uploads/2021/06/afr320052009eng.pdf; https://www.kibera.org.uk/facts-info/,NGO Report / News,-1.344,36.7919,Not specified,Not quantified,Ongoing; no formal legal proceedings on water access,Water access improved marginally after 2 mains pipes installed,water access slum vendor conflict Kibera Nairobi 2009 sanitation,High,0.9,Structural/chronic conflict; ongoing since 1970s
KEN-KBU-095,KEN-KBU-095,Kiambu,Kiambu - Kiambu Water and Sewerage Company - 2017-2018 Audit Issues,7/1/2017,6/30/2018,"The Auditor General of Kenya published the 2017-2018 audit report for Kiambu Water and Sewerage Company Limited, documenting financial accountability issues that contributed to the pattern of water governance failures across Kiambu County's nine water co",Water-Land,Kiambu Water and Sewerage Company Limited - Auditor General 2017-2018 Report,Kiambu Water and Sewerage Company Limited; Auditor General of Kenya; Athi Water Services Board; Kiambu County Government,"The Office of the Auditor General published the 'Kiambu-Water-Company-and-Sewerage-Limited-2017-2018' audit report, available on the Auditor General's website. Kiambu Water and Sewerage Company Limited is one of the nine Water Service Provider companies",Auditor General of Kenya,https://www.oagkenya.go.ke/wp-content/uploads/2021/09/Kiambu-Water-Company-and-Sewerage-Limited-2017-2018.pdf,Government; Audit,-1.1711,36.831,0,Unknown,Audit Published - Financial Issues Documented,Resolved (Audit Period),"Kiambu Water, Auditor General, 2017-2018, audit, financial governance, Kiambu County, AWSB, water company",Yes,0.9,Auditor General website directly cited.
KEN-TRK-196,KEN-TRK-196,Turkana,Turkana - 2011 Biodiversity Study - Manguo Ondiri Swamp Threats - Applied to Turkana Water Points,1/1/2011,12/31/2011,"A 2011 study published in Biodiversity journal documented human activities as major threats to Kenyan wetlands -” specifically: 'dumping of solid waste, encroachment, agriculture, overexploitation and overgrazing.' This foundational academic finding ap",Water-Land,Biodiversity 2011 - Highland Wetland Management - Human Activities as Primary Threat - Kenya Water Sources,Biodiversity Journal Researchers; Kenya University of Nairobi; Manguo Swamp Limuru; Ondiri Swamp Kikuyu; Multiple Counties,"Mongabay (April 2023) cited 'A 2011 study, published in the journal Biodiversity, focused on the management of highland wetlands in Kenya, using Manguo and Ondiri swamps as case studies. According to the study, human activities such as dumping of solid w",Biodiversity Journal (2011); University of Nairobi,https://news.mongabay.com/2023/04/drying-wetlands-and-drought-threaten-water-supplies-in-kenyas-kiambu-county/,Academic,-1.2864,36.8172,0,Unknown,Academic Documentation - Baseline,Ongoing - Structural,"Biodiversity 2011, Manguo Ondiri, highland wetlands, human activities, dumping encroachment agriculture overexploitation overgrazing, Kenya, foundational study",Yes,0.88,Mongabay citing Biodiversity 2011 directly confirmed.
KEN-TRK-117,KEN-TRK-117,Turkana,Turkana - Lodwar - Keep IT Cool - Cold Chain Fish Economy,2/1/2024,12/31/2025,"Keep IT Cool, a Google-backed cold-chain startup based in Nairobi, has been operating in Turkana County to connect Lake Turkana fisherfolk with the Nairobi market by providing transport, freezers, and above-market fish prices -” offering an economic al",Water-Land,Keep IT Cool - Fish Cold Chain - Economic Alternative to Conflict,Keep IT Cool (Google-backed Nairobi Startup); Turkana Fisherfolk; Kalokol Fish Landing Sites; Nairobi Market,"The Borgen Project (February 2024) documented that a Google-backed startup based in Nairobi, known as Keep IT Cool, is transforming the food industry in Northern Kenya. The organisation operates as a decentralised cold-chain company and food distributor.",Borgen Project,https://borgenproject.org/water-crisis-in-turkana/,NGO,3.5,35.8,0,0,Active - Economic Programme,Ongoing,"Keep IT Cool, Google-backed, cold chain, fisherfolk, Kalokol, Nairobi market, 20-30 shillings premium, Turkana, livelihoods",Yes,0.88,Borgen Project directly cited. Named startup and economic model confirmed.
KEN-TRK-119,KEN-TRK-119,Turkana,Turkana County - Borgen Project 2024 - Water Access Governance Summary,2/1/2024,12/31/2024,The Borgen Project's February 2024 documentation of Turkana's water crisis synthesises multiple dimensions of the access governance gap: underground resources discovered in 2013 unrealised; LOWASCO service gaps; household unaffordability; and the direct,Water-Land,Turkana Water Governance Gap - 2024 Documentation - Borgen Project,Borgen Project; Turkana County; LOWASCO; UNDP; Keep IT Cool; Water.org,"The Borgen Project (February 2024) published a comprehensive review of the water crisis in Turkana County. Key documented facts: (1) Turkana boasts vast underground water resources discovered in 2013, reportedly capable of supplying Kenya with adequate w",Borgen Project,https://borgenproject.org/water-crisis-in-turkana/,NGO,3.119,35.597,0,Unknown,Active - Governance Gap,Ongoing,"Borgen Project 2024, Turkana, water governance, underground water, 70 years, LOWASCO, saline, drought, 439,400 livestock",Yes,0.93,Borgen Project directly cited. Multiple specific facts confirmed.
KEN-TRK-200,KEN-TRK-200,Turkana,Turkana - 2020-2022 Drought - 439400 Livestock Killed by Mid-2022,1/1/2020,6/30/2022,"Borgen Project documented that the 2020-2022 drought killed an estimated 439,400 livestock in Turkana by mid-2022 -” with droughts becoming an annual occurrence since the 1990s (previously projected every five years).",Water-Land,Turkana 2020-2022 Drought - 439400 Livestock Killed by Mid-2022 - Annual Drought Since 1990s,Turkana Pastoralists; Borgen Project; 350000 Households; 3.4 Million Food Insecure Nationally,"Borgen Project (February 2024) documented: 'The most recent drought began in 2020 and had killed an estimated 439,400 livestock by mid-2022. Considering the importance of livestock in this region, a crisis of hunger and water scarcity has catapulted conf",Borgen Project; Al Jazeera,https://borgenproject.org/water-crisis-in-turkana/,Print/Online News,3.09,35.21,0,350000+,Historical - Drought Catastrophe,Ongoing - Structural,"Turkana, 2020-2022 drought, 439400 livestock killed, annual drought since 1990s, 3.4 million food insecure, 350000 households starvation, Borgen Project, Al Jazeera 2026",Yes,0.95,Borgen Project directly cited.
KEN-TRK-115,KEN-TRK-115,Turkana,Turkana - Livestock Drought Deaths 2020-2022 - 439400 Animals,1/1/2020,6/30/2022,"The 2020-2022 drought in Turkana County killed an estimated 439,400 livestock by mid-2022, triggering a hunger and water scarcity crisis that directly escalated the inter-community conflicts documented in this dataset's post-2020 Turkana entries.",Water-Land,Turkana 2020-2022 Drought - 439400 Livestock Deaths - Hunger and Conflict Escalation,Turkana Pastoralists; Aid Agencies; National Drought Management Authority; Borgen Project; NDMA,"The Borgen Project (February 2024) documented that the most recent drought in Turkana began in 2020 and had killed an estimated 439,400 livestock by mid-2022. Given the importance of livestock in the Turkana economy -” with livestock providing an estim",Borgen Project; ICG; NDMA,https://borgenproject.org/water-crisis-in-turkana/,NGO; Government,-1.2864,36.8172,0,Unknown,Historic - Drought Impact,Ongoing - Structural,"Turkana, drought, 439,400 livestock deaths, 2020-2022, hunger, water scarcity, conflict escalation, Borgen Project",Yes,0.94,Borgen Project directly cited. Livestock death figure confirmed. NOTE: National coordinates used as county-level.
