field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8,field_9,field_10,field_11,field_12,field_13,field_14,field_15,field_16,field_17,field_18,field_19,field_20,field_21,field_22,field_23,field_24
KEN-KBU-030,KEN-KBU-030,Kiambu,Kiambu - Northern Collector Tunnel,1/1/2013,12/31/2024,"The Northern Collector Tunnel project, diverting water from Mount Kenya forests to supplement Nairobi's supply, required land acquisition across Kiambu that generated community conflicts over compensation and water rights.",Water-Land,Water Tunnel - Land Acquisition Conflict,Northern Collector Tunnel Project; Murang'a Community; Kiambu Community; NLC; Nairobi City Water,"The Northern Collector Tunnel (NCT) is a major water infrastructure project diverting water from Mount Kenya forest streams through a tunnel to supplement Nairobi's water supply system. The project was developed in phases from 2013, with Phase 1 tunnelli",Huduma Global; NLC; NCWSC; Nation Media,https://hudumaglobal.com/blog/water-sanitation-kenya-crisis-solutions-water-rights,Government; Regulatory; Print/Online News,-1.1,36.83,0,Unknown,Active - NLC Compensation Review,Ongoing,"Northern Collector Tunnel, Mount Kenya, Kiambu, Murang'a, water diversion, NLC, compulsory acquisition, NCWSC",Yes,0.82,Huduma Global and NLC cited.
KEN-TRK-038,KEN-TRK-038,Turkana,Turkana East - Baragoi-Turkana Corridor,11/13/2012,12/31/2024,The November 2012 Baragoi Massacre -” in which Samburu warriors killed over 40 Kenyan police officers responding to a Turkana-Samburu cattle raid -” marked a peak of violence in the contested water-pasture corridor.,Water-Land,Cross-County Pastoral Conflict - Samburu-Turkana,Turkana Warriors; Samburu Warriors; Kenya Police; Kenya Army,"The ACCORD study 'From Cattle Raids to Violence: A Processual Analysis of the Baragoi Massacre in Northern Kenya' documented that in November 2012, a sequence of inter-communal cattle raids between Samburu and Turkana escalated catastrophically. Turkana",ACCORD; Nation Media; Kenya Human Rights Commission,https://www.accord.org.za/conflict-trends/from-cattle-raids-to-violence-a-processual-analysis-of-the-baragoi-massacre-in-northern-kenya/,Academic; Print/Online News; NGO,1.2833,36.8667,42+,5000+,Post-Incident Investigation,Partially Resolved,"Baragoi Massacre, Samburu, Turkana, 2012, cattle raid, police killed, Operation Rudisha Ngombe, ACCORD",Yes,0.93,ACCORD directly cited. High-profile documented incident.
KEN-TRK-039,KEN-TRK-039,Turkana,Turkana North - Todonyang Borderlands,1/1/2010,12/31/2024,Ambiguity in the boundary between Turkana and Marsabit counties in the Lake Turkana northern region created conflicts between fishing communities from each county over fishing territories on the lake.,Water-Land,Intra-Kenya Cross-County Fishing Conflict,Turkana Fishers; Marsabit County Fishers; Kenya Fisheries Service; County Boundary Commission,The boundary between Turkana and Marsabit counties in the Lake Turkana northern region is disputed in several sections. Fishing communities from both counties claim fishing territory on the lake in the overlapping zone near Todonyang and the Omo River de,Kenya Fisheries Service; County Boundary Commission; Nation Media,https://fisheries.go.ke,Government; Regulatory; Print/Online News,4.45,36.1667,2,Unknown,Administrative - Boundary Review,Ongoing - Unresolved,"Todonyang, Turkana, Marsabit, county boundary, fishing territory, Lake Turkana, Fisheries Service, intra-Kenya",Yes,0.76,Referenced in Kenya Fisheries Service Lake Turkana management records.
KEN-MCK-033,KEN-MCK-033,Machakos,Masinga - Kiambere Corridor,1/1/2009,12/31/2020,Communities living near the Kiambere Reservoir on the upper Tana River in the Machakos-Kitui boundary contested displacement and inadequate compensation from the reservoir's expansion and management restrictions.,Water-Land,Hydroelectric Reservoir - Community Displacement,Kiambere Dam Community; KenGen; NLC; Machakos Community,"The Kiambere Hydroelectric Power Station, operated by KenGen as part of the Seven Forks cascade, has a reservoir that borders Machakos County's northeastern edge. Communities in the Kiambere reservoir buffer zone were subject to land use restrictions and",KenGen; NLC; WRMA; Nation Media,https://kenyalaw.org,Government; Regulatory; Court,-0.7,37.9,0,Unknown,NLC Review - Compensation Dispute,Ongoing - Partially Resolved,"Kiambere, reservoir, KenGen, displacement, compensation, Machakos, NLC, buffer zone, energy infrastructure",Yes,0.78,Referenced in KenGen and NLC community relations documentation.
NBI-018,NBI-018,Nairobi,Ongata Rongai,2/1/2024,2/28/2024,"Human-animal conflict at Ongata Rongai riparian zone; two students attacked by hyena near dam, child killed collecting firewood",Riparian / Human-Wildlife Water Conflict,Resource Competition at Riparian Zones,"Rongai residents, livestock herders, wildlife (hyena)","In February 2024, two students were attacked by a hyena at 6pm in Ongata Rongai, a satellite town in the Nairobi Metropolitan Area. A child was killed near a dam while collecting firewood and was dragged towards Saitoti bridge. Clothing and body parts we",MDPI Land Journal (2024),https://www.mdpi.com/2073-445X/13/7/913,Peer-reviewed Academic,-1.3931,36.7556,1 child killed; 2 students injured,Not quantified,Not formally investigated as land-water conflict,Ongoing; ecosystem degradation continues,Ongata Rongai human wildlife water conflict riparian 2024 hyena dam Nairobi Metropolitan,High,0.92,Documented in MDPI peer-reviewed study on Nairobi riparian zones (June 2024)
KMB-005,KMB-005,Kiambu,Kiambu County (Aberdare catchment),2/1/2023,4/30/2023,"40,000+ acres of Aberdare Forest destroyed by wildfire February 2023; rivers drying and water crisis escalating in Kiambu",Water Catchment Conflict,Wildfire and Water Source Destruction,"Kenya Forest Service, private encroachers, Kiambu County Water Department","In February 2023, more than 40,000 acres of the Aberdare Forest—Kiambu County's primary water catchment—was destroyed by wildfire, further threatening the area's water supplies. Rivers originating from the southern Aberdare Forest, most of which were",Mongabay,https://news.mongabay.com/2023/04/drying-wetlands-and-drought-threaten-water-supplies-in-kenyas-kiambu-county/,Investigative Journalism,-1.05,36.7,0,Entire Kiambu County water supply,Kenya Forest Service investigating; no compensation to communities,Water scarcity worsening,Aberdare wildfire Kiambu water crisis 2023 forest catchment Kenya,High,0.94,Primary source: Mongabay April 2023 investigation
TRK-003,TRK-003,Turkana,Loiyangalani / South Horr (Lake Turkana Wind Power area),1/1/2017,12/31/2024,Lake Turkana Wind Power project centralises land control and marginalises pastoralist communities; sparks claims and contestation,Land/Water Conflict,Displacement by Large Resource Project,"Lake Turkana Wind Power consortium, Turkana County Govt, Samburu and Turkana pastoralists","The Lake Turkana Wind Power (LTWP) project in Loiyangalani area of Turkana triggered new tensions and struggles. A 2024 ScienceDirect study found the project centralized land control, marginalizing pastoralist populations at the state's periphery. A reva",ScienceDirect / Journal of Rural Studies,https://www.sciencedirect.com/science/article/pii/S0305750X2400384X,Peer-reviewed Academic,2.75,36.9167,Not formally quantified,Thousands of pastoralists in LTWP area,Legal and political contestation ongoing,No formal resolution; green energy vs pastoral rights unresolved,Lake Turkana Wind Power land conflict pastoralist marginalization Loiyangalani 2017 2024,High,0.93,"Peer-reviewed study in Journal of Rural Studies, published Jan 2025"
KEN-TRK-032-B,KEN-TRK-032,Turkana,Turkana North - Lake Turkana Islands,1/1/2019,12/31/2023,"Turkana North fishing communities conflict with KWS and Sibiloi National Park authorities over access to fish breeding grounds on Lake Turkana's protected islands, crucial for fish stocks.",Water-Land,Fishing Zone Conflict - Protected Areas,Turkana Fishing Communities; Kenya Wildlife Service; Sibiloi National Park Management; UNESCO World Heritage,"The Water, Peace and Security impact story (January 2023) quoted Erupe, a park manager at Lake Turkana, stating: 'In Lake Turkana we have three islands. Two are areas protected by the Kenyan government. We also have the Sibiloi National Park, and part of",Water Peace and Security - International Alert,https://waterpeacesecurity.org/info/impact-story-01-10-2023-resource-management-challenges,NGO Report,3.9667,36.2167,2,Unknown,Active - KWS Enforcement,Ongoing,"Lake Turkana, Sibiloi National Park, fishing zone, protected islands, KWS, UNESCO, fish stocks, Turkana North",Yes,0.92,WPS impact story directly cited. Named park manager quoted.
KEN-KBU-025-B,KEN-KBU-025,Kiambu,Murera - Murang'a Border,1/1/2015,12/31/2023,Tea and smallholder farming communities along Tana River headwaters on the Kiambu-Murang'a border conflict with TAWWDA and WRMA over catchment land use restrictions that limit agricultural activity in the river's protected zone.,Water-Land,Tana River Catchment Land Use Conflict,TAWWDA; Kiambu-Murang'a Border Communities; WRMA; Forestry Department,"The Tana River catchment in the upper Aberdare range covers parts of Kiambu, Murang'a, and Kirinyaga counties. TAWWDA manages water infrastructure drawing on Tana River flows. WRMA designated protected catchment zones along the upper Tana and its tributa",WRMA; TAWWDA; Kiambu County; Standard Media,https://wrma.go.ke,Regulatory; Government,-0.95,36.9,0,Unknown,Administrative - Catchment Buffer Enforcement,Ongoing,"Tana River, catchment, Kiambu, Murang'a, WRMA, TAWWDA, tea farming, buffer zone, forestry, smallholder",Yes,0.76,Referenced in WRMA upper Tana catchment management reports.
KEN-KBU-026-B,KEN-KBU-026,Kiambu,Kiambu County - Ndakaini Feeder Streams,1/1/2016,12/31/2024,"Smallholder farming communities encroaching on Ndakaini (Thika) Dam's feeder streams in Kiambu County reduced catchment integrity and contributed to declining dam levels, creating a critical urban-rural water security conflict.",Water-Land,Ndakaini Dam Feeder Stream Encroachment,NCWSC; Kiambu Farmers; Murang'a County; WRMA,"Ndakaini Dam (Thika Dam) in Murang'a County supplies approximately 80% of Nairobi's treated water via NCWSC. Its water level depends on runoff from the surrounding catchment including feeder streams originating in Kiambu County. From 2016, NCWSC flagged",NCWSC; WRMA; Nation Media,https://waterservices.go.ke,Government; Regulatory,-0.8333,36.8,0,Unknown,Active - Catchment Payment Programme,Ongoing,"Ndakaini, Thika Dam, feeder streams, NCWSC, catchment, Nairobi water supply, farming, WRMA, Kiambu",Yes,0.85,Multiple government water utility sources. Critical Nairobi water security issue.
KEN-KBU-053,KEN-KBU-053,Kiambu,Kiambu - Upper Tana Riparian Smallholder Farms,1/1/2016,12/31/2024,"Approximately 500 smallholder farming families along the Tana River upper catchment on the Kiambu-Murang'a border face ongoing pressure to vacate 30-metre riparian buffer zones under the Water Act 2016, threatening their livelihoods without adequate comp",Water-Land,Upper Tana Buffer Zone - Smallholder Farmer Eviction Threat,Kiambu-Murang'a Border Smallholder Farmers (est. 500 families); TAWWDA; WRMA; Kiambu County; Kiambu Farmers Association,"WRMA and TAWWDA documentation for the upper Tana catchment in Kiambu County identifies approximately 500 smallholder families whose tea, horticultural, and food crop farms straddle the 30-metre riparian buffer zone along the Tana and its Kiambu tributari",WRMA; TAWWDA; Kiambu County,https://wrma.go.ke,Regulatory; Government,-0.95,36.9,0,500+,Administrative - WRMA Buffer Enforcement,Ongoing,"Upper Tana, Kiambu, Murang'a border, smallholder, riparian buffer, WRMA, TAWWDA, Water Act 2016, 500 families",Yes,0.79,WRMA upper Tana catchment management reports cited.
KEN-TRK-097,KEN-TRK-097,Turkana,Turkana County - Lowerengak Oil-Fishing Conflict,1/1/2014,12/31/2022,"In Lowerengak, northeast Turkana, the convergence of oil exploration activity and traditional fishing in the Lake Turkana delta area created a documented conflict between the fishing community and oil company operations.",Water-Land,Lowerengak - Oil Exploration and Fishing Access Conflict,Lowerengak Fishing Community; Tullow Oil (Block 10BA); Turkana North; Kenya DRD; WRMA,"The KNCRC Conflict and Extractive Industries in Turkana (2018) documented that Lowerengak, in northeast Turkana adjacent to Lake Turkana, is an area 'where pastoralists have often moved to in times of drought and crisis (being able to catch fish)' and wh",KNCRC; International Alert,https://crimeresearch.go.ke/wp-content/uploads/2018/02/Conflict-and-Extractive-Industries-in-Turkana.pdf,Government Research; NGO,3.65,36.1167,5+,500+,Stalled - Partial Restoration,Partially Resolved,"Lowerengak, oil exploration, fishing, Block 10BA, Turkana North, drought refuge, fencing, stalled exploration",Yes,0.87,KNCRC directly cited.
KEN-TRK-153,KEN-TRK-153,Turkana,Turkana East - Lomelo Village - Armed Militia Ambush - Approximately 2012,1/1/2012,12/31/2012,"Joshua, a Kapedo resident born 1999, described being in a police truck with about 30 civilians near Lomelo when 'without warning, a swarm of nearly 50 armed Pokot militia ambushed them.' He lost both brothers on the same day in the attack, documenting on",Water-Land,Lomelo Village Ambush - 30 Civilians in Police Truck - 50 Pokot Militia - Circa 2012,50 Pokot Militia; 30 Civilians; Police Truck; Turkana East; Joshua (survivor); Relatives of Victims,"New Lines Magazine (November 2023) documented Joshua's testimony about the circa-2012 ambush: 'At age 13, he was sitting in the back of a militarised police truck -” a common way to travel given the security situation -” on his way to Lomelo, an even",New Lines Magazine,https://newlinesmag.com/reportage/northern-kenyas-unending-battle-with-banditry-and-cattle-rustling/,Print/Online News,1.3,36.0833,10+,Unknown,Historical - Personal Testimony,Resolved (Historical),"Lomelo, circa 2012, 50 Pokot militia, 30 civilians, police truck, Joshua, brothers killed, Turkana East, Kapedo, ambush",Yes,0.88,New Lines Magazine directly cited. Named witness and location confirmed.
KEN-TRK-190,KEN-TRK-190,Turkana,Turkana - Gibe III - 2011 Dassenetch Turkana Exchange - 50 Dead,1/1/2011,12/31/2011,Climate Diplomacy (2016) cited a KBC report documenting that an exchange between the Dassenetch peoples on the Ethiopian side of the border and Turkana peoples on the Kenyan side in 2011 'left 50 dead.' This occurred during the Gibe III construction peri,Water-Land,2011 Dassenetch Turkana Exchange - 50 Dead - KBC Documented - Gibe III Pre-Filling Period,Dassenetch Community (Ethiopia); Turkana Community (Kenya); KBC; Ethiopia-Kenya Border,"Climate Diplomacy (2016) documented: 'Fighting between the Dassenetch peoples on the Ethiopian side of the border and Turkana peoples on the Kenyan side has erupted periodically over land and revenge killings. An exchange in 2011 left 50 dead, according",Climate Diplomacy; KBC,https://climate-diplomacy.org/magazine/update-kenyas-dwindling-lake-turkana-ethiopian-dam-begins-operation,Print/Online News; Government,4.4167,36.2,50,Unknown,Historical - Conflict During Dam Construction Period,Resolved (Historical),"Dassenetch, Turkana, 2011, 50 dead, KBC, Ethiopia-Kenya border, Gibe III construction period, water land revenge killings, periodic exchange",Yes,0.88,Climate Diplomacy citing KBC directly cited.
KEN-KBU-132,KEN-KBU-132,Kiambu,Kiambu Forest - February 2023 Aberdare Wildfire - 40000 Acres Destroyed,2/1/2023,2/28/2023,"In February 2023, more than 40,000 acres of the Aberdare Forest were destroyed by wildfire -” 'further posing serious environmental threats' to Kiambu County's water supply, which depends on rivers originating from the Aberdare Forest, according to Mon",Water-Land,Aberdare Forest February 2023 - Wildfire Destroys 40000 Acres - Water Supply Threat Kiambu,Kenya Forest Service; Kiambu County Government; Mongabay; Aberdare Forest Conservation Groups; David Kuria (Environment CEC),"Mongabay (April 2023) documented: 'In February 2023, more than 40,000 acres of the Aberdare Forest was destroyed by wildfire, further posing serious environmental threats.' Kiambu County Environment CEC David Kuria stated: 'The primary source of water fo",Mongabay,https://news.mongabay.com/2023/04/drying-wetlands-and-drought-threaten-water-supplies-in-kenyas-kiambu-county/,Print/Online News,-1.05,36.7,0,300000+,Environmental Emergency - Fire,Ongoing - Catchment Damaged,"Aberdare Forest, wildfire, February 2023, 40000 acres destroyed, Kiambu water supply, rivers dried, David Kuria, Mongabay, three simultaneous threats",Yes,0.95,Mongabay directly cited.
KEN-NBI-373,KEN-NBI-373,Nairobi,Nairobi - May 2024 - Mai Mahiu Flash Flood - 50 Dead 84 Missing 17 Children,4/29/2024,5/1/2024,"Wikipedia confirmed the April 29 2024 Mai Mahiu flash flood killed at least 50 people (including 17 children), with 84 missing. Cause: debris blockage at a river tunnel beneath a railway embankment -” stones, trees, and mud accumulated from past rain.",Water-Land,Mai Mahiu Flash Flood April 29 2024 - 50 Dead 84 Missing 17 Children - Railway Embankment Debris Blockage,Ministry of Water; Kenya Railways; Maai Mahiu Residents; Wikipedia; Reuters; Kenya Red Cross,"Wikipedia's '2024 Mai Mahiu flash flood' documented: 'Kenya's government later said the cause was debris blockage at a river tunnel beneath a railway embankment. The debris consisted of stones, trees and mud accumulated from past rain. Officials clarifie",Wikipedia; Reuters,https://en.wikipedia.org/wiki/2024_Mai_Mahiu_flash_flood,Wikipedia,-0.9167,36.4833,50,2000+,Historical - Flash Flood Event,Resolved (Historical),"Mai Mahiu, April 29 2024, 50 dead, 84 missing, 17 children, railway embankment debris, river tunnel blockage, Great Rift Valley, infrastructure flood risk",Yes,0.97,Wikipedia directly cited.
KEN-KBU-150,KEN-KBU-150,Kiambu,Murang'a-Kiambu-Nairobi - Northern Water Collector Tunnel - October 2016 - Raila Odinga Tunnel of Death,2/1/2015,3/13/2025,"The Sh8-9.6 billion Northern Water Collector Tunnel (NCT) -” diverting water from three Aberdare rivers (Maragua, Gikigie, Irati) into Ndakaini Dam -” sparked major controversy in October 2016 when Raila Odinga called it a 'tunnel of death', alleging",Water,Northern Water Collector Tunnel - October 2016 - Raila Odinga Tunnel of Death - Murang'a Rivers Dry - Downstream Communities,World Bank; China Gezhouba Group Company; Athi Water Services Board (AWSB); Murang'a Downstream Communities (Makamboki Kinyona Githuro Munungu); Raila Odinga; Opposition Leaders; Kenya Engineer Journal,"Construction Kenya (May 2025) documented: 'The Northern Water Collector Tunnel sparked controversy in 2016 after opposition leader Raila Odinga alleged the project would cause significant environmental damage. Mr Odinga, who referred to the project as a",Standard Media; Construction Kenya; allAfrica; Kenya Engineer,https://www.standardmedia.co.ke/article/2000219866/northern-collector-experts-say-impact-on-rivers-will-be-negligible,Print/Online News; Academic,-1.1,36.83,0,Unknown,Project Operational - Community Disputes Ongoing,Active - Structural,"Northern Water Collector Tunnel, October 2016, Raila tunnel of death, Murang'a downstream, seven counties desert, Aberdare rivers diverted, Ndakaini Dam, World Bank Category A",Yes,0.97,"Standard Media, Construction Kenya, allAfrica, Kenya Engineer directly cited."
KEN-TRK-221,KEN-TRK-221,Turkana,Turkana - Lokiriama Peace Accord - December 1973 - Turkana Matheniko - Annual Commemorations,12/1/1973,5/26/2026,"Wikipedia documented: The Lokiriama Peace Accord is a peace treaty between the Turkana people of Kenya and the Matheniko of Uganda, signed in December 1973, committing both parties to peaceful coexistence. A symbolic monument stands at Lokiriama on the K",Water-Land,Lokiriama Peace Accord December 1973 - Turkana Kenya and Matheniko Uganda - Monument Lokiriama - Annual Commemorations,Turkana People (Kenya); Matheniko People (Uganda); Toposa (South Sudan); Didinga (South Sudan); Karamojong (Uganda); Nyangatom (Ethiopia); Kenya Central Government; Uganda Central Government,Wikipedia documented: 'The Lokiriama Peace Accord is a peace treaty between the Turkana people of Kenya and the Matheniko of Uganda signed in December 1973 as a commitment by both parties to peacefully co-exist. The accord derives its name from Lokiriama,Wikipedia,https://en.wikipedia.org/wiki/Lokiriama_Peace_Accord,Wikipedia,3.0167,34.7667,0,Unknown,Active - Annual Commemorations,Ongoing - Peace Architecture,"Lokiriama Peace Accord, December 1973, Turkana, Matheniko, Uganda, monument, annual commemorations, Toposa, Didinga, Karamojong, Nyangatom, five nations",Yes,0.97,Wikipedia directly cited.
